6536065;Christoph Lindemann|Maik Caro;;;;;;;;;;;;;978-3-8273-2280-7;;books/daglib/0014844;2019-07-09;;;;1-261;Addison-Wesley;;;;Open source library;;;;TYPO3 Tipps und Tricks - erste Hilfe von Installation bis Extensions.;;;2006
6536066;Bert Bates|Kathy Sierra;;;;;;;;;;http://www.oreilly.de/catalog/hfjejb/index.html;;;978-0-596-00571-9;;books/daglib/0009773;2011-04-14;;;;I-XXX, 1-700;O'Reilly;;;;;;;;Head first EJB - passing the Sun certified business component developer exam: a brain-friendly study guide.;;;2003
6536067;Frank M. Lillehagen|John Krogstie;;;;;;;;;;https://doi.org/10.1007/978-3-540-79416-5;;;978-3-540-79415-8;;books/daglib/0020834;2017-05-16;;;;I-XX, 1-436;Springer;;;;;;;;Active knowledge modeling of enterprises.;;;2008
6536068;Karl Nüßle;;;;;;;;;;;;;978-3-519-02666-2;;books/daglib/0067736;2011-04-07;;;;1-254;Teubner;;;;MikorComputer-Praxis;;;;MS WORKS-Praxis für kaufmännische Berufe - Anwendungen mit Einführung in MS WORKS.;;;1991
6536069;Hajo A. Reijers|Jan Mendling|Marcello La Rosa|Marlon Dumas;;;;;;;;;;http://fundamentals-of-bpm.org/|https://doi.org/10.1007/978-3-642-33143-5;;;978-3-642-33142-8;;books/daglib/0031128;2017-05-16;;;;I-XXVII, 1-399;Springer;;;;;;;;Fundamentals of Business Process Management.;;;2013
6536070;Björn M. Eskofier;;;;;;;;;;;;;978-3-639-08985-1;;books/daglib/0030972;2021-06-29;;;;;VDM;;;;;;;;Non-Rigid 3D SPECT/CT Image Registration - Registration of Myocardial Datasets.;;;2008
6536071;Annette von Wolff;;;;;;;;;;;;;978-3-901716-19-5;;books/daglib/0014967;2019-06-18;;;;I-XI, 1-252;TU Wien;;;;GeoInfo series;;;;Transformation und Inspektion mentaler Umraumrepräsentationen - Modell und Empirie.;;18;2001
6536072;Laurent Michel|Pascal Van Hentenryck;;;;;;;;;;;;;978-0-262-22077-4;;books/daglib/0014220;2011-04-01;;;;I-XIX, 1-422;MIT Press;;;;;;;;Constraint-based local search.;;;2005
6536073;Uwe Schöning;;;;;;;;;;;;;978-3-8274-0232-5;;books/daglib/0090589;2011-04-26;;;;1-221;Spektrum Akademischer Verlag;;;;Hochschultaschenbuch;;;;Algorithmen - kurz gefasst.;;;1997
6536074;Gerhard Lienemann;;;;;;;;;;;;;978-3-936931-07-5;;books/daglib/0009024;2011-04-12;;;;I-IX, 1-300;Heise;;;;;;;;TPC/IP-Grundlagen - Protokolle und Routing (3. Aufl.).;;;2003
6536075;Dean Allemang|James A. Hendler;;;;;;;;;;;;;978-0-12-373556-0;;books/daglib/0020599;2011-02-15;;;;I-XVII, 1-330;Elsevier;;;;;;;;Semantic web for the working ontologist - modeling in RDF, RDFS and OWL.;;;2008
6536076;Thomas Wieland;;;;;;;;;;;;;978-3-89864-166-1;;books/daglib/0007064;2011-04-18;;;;I-XX, 1-566;dpunkt.verlag;;;;;;;;C++-Entwicklung mit Linux - eine Einführung in die Sprache und die wichtigsten Werkzeuge, von GCC und XEmacs bis KDevelop (2. ed.).;;;2000
6536077;Andrew S. Tanenbaum|Maarten van Steen;;;;;;;;;;;;;978-0-13-239227-3;;books/daglib/0019513;2017-04-27;;;;I-XVIII, 1-686;Pearson Education;;;;;;;;Distributed systems - principles and paradigms, 2nd Edition.;;;2007
6536078;Louis L. Odette;;;;;;;;;;;;;978-0-201-51753-8;;books/daglib/0067742;2011-04-07;;;;I-IX, 1-265;Addison-Wesley;;;;;;;;Intelligent embedded systems.;;;1991
6536079;Marcos Cesar Danhoni Neves;;;;;;;;;;;;;978-8-576-28331-7;;books/daglib/0036077;2015-07-14;;;;1-247;Editora da Universidade Estadual de Maringa;;;;;;;;Astronomia e Cosmologia - Fatos, Conjecturas e Refutacoes.;;;2011
6536080;Robert N. Barger;;;;;;;;;;;;;978-0-521-88251-4;;books/daglib/0021592;2011-03-16;;;;I-XV, 1-245;Cambridge University Press;;;;;;;;Computer ethics - a case-based approach.;;;2008
6536081;Jeffrey D. Ullman|John E. Hopcroft;;;;;;;;;;;;;978-3-89319-744-6;;books/daglib/0078109;2011-04-29;;;;I-IX, 1-461;Addison-Wesley;;;;Internationale Computer-Bibliothek;;;;Einführung in die Automatentheorie, formale Sprachen und Komplexitätstheorie (3. Aufl.).;;;1994
6536082;Robert Englander;;;;;;;;;;http://www.oreilly.de/catalog/javasoap/index.html;;;978-0-596-00175-9;;books/daglib/0006446;2011-04-07;;;;I-XV, 1-258;O'Reilly;;;;;;;;Java and SOAP - building web services in Java.;;;2002
6536083;Daniel Thalmann|Soraia Raupp Musse;;;;;;;;;;;;;978-1-4471-4449-6;;books/daglib/0030710;2013-02-19;;;;I-XV, 1-296;Springer;;;;;;;;Crowd Simulation, Second Edition.;;;2013
6536084;Niklaus Wirth;;;;;;;;;;;;;978-3-486-58581-0;;books/daglib/0020250;2011-02-15;;;;I-XI, 1-191;Oldenbourg;;;;;;;;Grundlagen und Techniken des Compilerbaus (2. Aufl.).;;;2008
6536085;Paul R. Wellin|Richard J. Gaylord|Samuel N. Kamin;;;;;;;;;;;;;978-0-387-94434-0;;books/daglib/0081128;2011-04-08;;;;I-XXIII, 1-452;Springer;;;;;;;;An introduction to programming with Mathematica (2. ed.).;;;1996
6536086;Bernd Sturmfels|Diane Maclagan;;;;;;;;;;http://bookstore.ams.org/gsm-161/;;;978-0-8218-5198-2;;books/daglib/0039113;2016-11-10;;;;I-XII, 1-363;American Mathematical Society;;;;Graduate studies in mathematics;;;;Introduction to Tropical Geometry.;;161;2015
6536087;George V. Neville-Neil|Marshall K. McKusick;;;;;;;;;;;;;978-0-201-70245-3;;books/daglib/0011911;2011-02-06;;;;I-XXVI, 1-683;Addison-Wesley;;;;;;;;The design and implementation of the FreeBSD operating system - FreeBSB version 5.2.;;;2005
6536089;Scott Aaronson;;;;;;;;;;http://www.cambridge.org/de/academic/subjects/physics/quantum-physics-quantum-information-and-quantum-computation/quantum-computing-democritus?format=PB;;;978-0-521-19956-8;;books/daglib/0032853;2014-03-12;;;;I-XXX, 1-370;Cambridge University Press;;;;;;;;Quantum Computing since Democritus.;;;2013
6536090;Katherine Faust|Stanley Wasserman;;;;;;;;;;;;;978-0-521-38707-1;;books/daglib/0019260;2019-07-09;;;;I-XXXI, 1-825;Cambridge University Press;;;;Structural analysis in the social sciences;;;;Social network analysis - methods and applications.;;8;2007
6536091;Dominique Perrin|Jean-Eric Pin;;;;;;;;;;;;;978-0-12-532111-2;;books/daglib/0016866;2019-07-15;;;;I-XI, 1-538;Elsevier Morgan Kaufmann;;;;Pure and applied mathematics series;;;;Infinite words - automata, semigroups, logic and games.;;141;2004
6536092;Laura E. Hunter|Robbie Allen;;;;;;;;;;http://www.oreilly.de/catalog/activedckbk2/index.html;;;978-0-596-10202-9;;books/daglib/0016306;2011-03-23;;;;I-XXVIII, 1-962;O'Reilly;;;;;;;;Active Directory Cookbook - solutions for administrators and developers: covers 500 recipes, covers SP1, R2, and ADAM (2. ed.).;;;2006
6536093;Hiren D. Patel|Sandeep Kumar Shukla;;;;;;;;;;;;;978-1-4020-8087-6;;books/daglib/0010872;2011-04-07;;;;I-XXXII, 1-172;Kluwer;;;;;;;;SystemC Kernel extensions for heterogeneous system modeling - a framework for multi-MoC modeling and simulation.;;;2004
6536094;Thomas Handschuch;;;;;;;;;;;;;978-3-540-63421-8;;books/daglib/0095965;2011-04-20;;;;I-XVIII, 1-897;Springer;;;;;;;;Solaris 7 Systemadministration - Management von Workstation und Server mit Solaris 2 und Solaris 7 auf SPARC und Intel (2. Aufl.).;;;1999
6536095;Ronald J. Gould;;;;;;;;;;;;;978-0-8053-6030-1;;books/daglib/0070580;2015-08-24;;;;I-VIII, 1-332;Benjamin/Cummings;;;;;;;;Graph theory.;;;1988
6536096;William Webb 0001;;;;;;;;;;;;;978-0-89006-702-4;;books/daglib/0095102;2022-08-24;;;;I-XV, 1-319;Artech House;;;;Mobile communications series;;;;Introduction to wireless local loop.;;;1998
6536097;C. J. Date 0001|Hugh Darwen|Nikos A. Lorentzos;;;;;;;;;;;;;978-1-55860-855-9;;books/daglib/0014409;2021-05-15;;;;I-XXII, 1-422;Elsevier;;;;;;;;Temporal data and the relational model.;;;2002
6536098;Ulrike Ober;;;;;;;;;;https://d-nb.info/955874882;;;978-3-925178-23-8;;books/daglib/0009165;2021-07-17;;;;I-XIV, 1-218;;;;Darmstadt University of Technology, Germany;;;;;Partitionierung und Laufzeitoptimierung komplexer Anwendungen für FPGA-basierte Rapid-Prototyping-Board-Architekturen.;;;1999
6536099;Jeffrey D. Ullman|John E. Hopcroft;;;;;;;;;;;;;;;books/daglib/0070542;2011-04-08;;;;;Addison-Wesley;;;;;;;;Introduction to Automata Theory, Languages and Computation, Second Edition;;;2000
6536100;Martin Kenneth|William E. Lorensen|William J. Schroeder;;;;;;;;;;;;;978-0-13-954694-5;;books/daglib/0001343;2011-04-12;;;;I-XX, 1-645;Prentice Hall;;;;;;;;Visualization toolkit (2. ed.).;;;1998
6536101;Jean-Michel Hélary|Michel Raynal;;;;;;;;;;;;;978-0-471-92453-1;;books/daglib/0067953;2011-05-03;;;;I-X, 1-124;Wiley;;;;Wiley series in parallel computing;;;;Synchronization and control of distributed systems and programs.;;;1990
6536102;Armin Zimmermann;;;;;;;;;;http://www.springer.com/computer/mathematics/book/978-3-540-74172-5;;;978-3-540-74172-5;;books/daglib/0019649;2011-02-10;;;;I-XV, 1-391;Springer;;;;;;;;Stochastic discrete event systems - modeling, evaluation, applications.;;;2008
6536103;Alan M. Davis;;;;;;;;;;;;;978-0-13-824673-0;;books/daglib/0067101;2011-05-05;;;;I-XXVI, 1-516;Prentice Hall;;;;;;;;Software requirements - analysis and specification.;;;1990
6536104;Jerzy A. Filar|Konstantin Avrachenkov|Phil G. Howlett;;0000-0002-8124-8272|0000-0003-2382-8137;;;;;;;;https://doi.org/10.1137/1.9781611973143;;;978-1-611973-13-6;;books/daglib/0033053;2022-01-03;;;;I-XII, 1-372;SIAM;;;;;;;;Analytic Perturbation Theory and Its Applications.;;;2013
6536106;Steven Furnell;;;;;;;;;;https://doi.org/10.1007/1-84628-270-5;;;978-1-85233-943-2;;books/daglib/0015235;2017-05-16;;;;I-XIII, 1-240;Springer;;;;;;;;Computer insecurity - risking the system.;;;2005
6536107;Marc Herbstritt;;;;;;;;;;;;;978-3-8381-0102-6;;books/daglib/0025434;2011-02-02;;;;I-X, 1-220;Südwestdeutscher Verlag für Hochschulschriften;;;;;;;;Satisfiability and Verification - From Core Algorithms to Novel Application Domains.;;;2009
6536109;Gabi Türscher;;;;;;;;;;;;;978-3-540-61319-0;;books/daglib/0087951;2011-02-03;;;;I-XII, 1-319;Springer;;;;;;;;PL / SQL - Lernen, Verstehen und Einsetzen.;;;1997
6536110;Jörn von Lucke;;;;;;;;;;;;;978-3-7685-1599-3;;books/daglib/0008648;2019-06-18;;;;I-XXI, 1-378;v. Decker;;;;Schriftenreihe Verwaltungsinformatik;;;;Internet-Technologien in der gesetzlichen Rentenversicherung - Effizienzsteigerung und Kostensenkung durch Internet-Technologien am Beispiel gesetzlicher Rentenversicherungsträger.;;21;1999
6536112;Karl Moss;;;;;;;;;;;;;978-0-07-135188-1;;books/daglib/0098266;2011-04-20;;;;I-XII, 1-514;McGraw-Hill;;;;;;;;Java servlets (2. ed.).;;;1999
6536113;Paul Barry;;;;;;;;;;http://www.oreilly.de/catalog/9781449382674/index.html;;;978-1-449-38267-4;;books/daglib/0025645;2011-03-15;;;;I-XXXIV, 1-457;O'Reilly;;;;;;;;Head First Python - a Brain-Friendly Guide.;;;2011
6536114;Ian Gladwell|Lawrence F. Shampine|Skip Thompson;;;;;;;;;;;;;978-0-521-53094-1;;books/daglib/0019476;2011-04-14;;;;I-VIII, 1-263;Cambridge University Press;;;;;;;;Solving ODEs with MATLAB.;;;2003
6536115;Curtis Frye;;;;;;;;;;http://www.oreilly.de/catalog/excelpg/index.html;;;978-0-596-00534-4;;books/daglib/0009645;2011-04-12;;;;I-VIII, 1-111;O'Reilly;;;;;;;;Excel - pocket guide: a quick reference to common tasks: covers excel 2002 / 2003.;;;2003
6536116;Kenneth R. Traub;;;;;;;;;;;;;;;books/daglib/0071432;2011-04-19;;;;;Pitman;;;;Research monographs in parallel and distributed computing;;;;Implementation of non-strict functional programming languages.;;;1991
6536117;Jan Löschner|Uwe Menzel;;;;;;;;;;;;;978-3-18-401309-7;;books/daglib/0077429;2011-04-29;;;;I-VIII, 1-153;VDI-Verlag;;;;;;;;Künstliche Intelligenz - ein Handwörterbuch für Ingenieure.;;;1993
6536118;Barbara Lhotzky;;;;;;;;;;;;;;;books/daglib/0018381;2019-06-19;;;;1-48;;;;University of Bonn, Germany;Research Report;;;;Probabilistic parallel computation.;;8517-CS;1987
6536119;John Rizzo;;;;;;;;;;http://www.oreilly.de/catalog/macannoy/index.html;;;978-0-596-00723-2;;books/daglib/0012122;2011-02-06;;;;I-XIV, 1-156;O'Reilly;;;;;;;;Mac annoyances - how to fix the most annoying things about your Mac.;;;2005
6536120;Michael Gloger;;;;;;;;;;https://d-nb.info/921546149;;;978-3-8244-2037-7;;books/daglib/0068988;2021-07-17;;;;I-XV, 1-252;Deutscher Universitätsverlag;;;Darmstadt University of Technology, Germany;;;;;Implementierung funktionaler Programmiersprachen - Codegenerierung, Speicherverwaltung und Testsysteme für Sprachen mit verzögerter Auswertung.;;;1993
6536121;Richard Wesley Hamming;;;;;;;;;;;;;978-0-13-139072-0;;books/daglib/0068879;2011-04-14;;;;I-XII, 1-259;Prentice Hall;;;;;;;;Coding and information theory (2. ed.).;;;1986
6536122;Vyacheslav P. Tuzlukov;;;;;;;;;;;;;978-0-8176-4152-8;;books/daglib/0003878;2011-04-12;;;;I-XVIII, 1-725;Birkhäuser;;;;;;;;Signal detection theory.;;;2001
6536123;Alex Lascarides|Jo Calder|Keith Stenning;;;;;;;;;;http://mitpress.mit.edu/books/introduction-cognition-and-communication;;;978-0-262-19538-6;;books/daglib/0035279;2015-05-11;;;;1-603;MIT Press;;;;;;;;Introduction to Cognition and Communication.;;;2006
6536124;F. Javier Zarazaga-Soria|Javier Nogueras-Iso|Pedro R. Muro-Medrano;;0000-0002-1279-0367;;;;;;;;https://doi.org/10.1007/3-540-27508-8|https://www.wikidata.org/entity/Q61703119;;;978-3-540-24464-6;;books/daglib/0014442;2019-06-02;;;;I-XXI, 1-263;Springer;;;;;;;;Geographic information metadata for spatial data infrastructures - resources, interoperability and information retrieval.;;;2005
6536127;Tim O'Reilly;;;;;;;;;;;;;978-3-89319-234-2;;books/daglib/0067745;2011-05-03;;;;I-X, 1-326;Addison-Wesley;;;;;;;;Unix V Nutshell-Buch.;;;1990
6536128;;;;;;;;;Chungmin Lee|Hitoshi Isahara|James Pustejovsky|Kyoko Kanzaki|Pierrette Bouillon;;https://doi.org/10.1007/978-94-007-5189-7;;;978-94-007-5188-0|978-94-007-5189-7;;books/daglib/0031959;2017-05-16;;;;;Springer;;;;;;;;Advances in Generative Lexicon Theory;db/books/daglib/0031959.html;;2013
6536129;Anthony Steed|Manuel Fradinho Duarte de Oliveira;;;;;;;;;;http://www.elsevierdirect.com/product.jsp?isbn=9780123744234;;;978-0-12-374423-4;;books/daglib/0028467;2012-03-03;;;;I-XI, 1-522;Academic Press;;;;;;;;Networked Graphics - Building Networked Games and Virtual Environments.;;;2009
6536130;Fred Kröger;;;;;;;;;;;;;978-3-540-53303-0;;books/daglib/0065930;2011-04-07;;;;I-X, 1-311;Springer;;;;;;;;Einführung in die Informatik - Algorithmenentwicklung.;;;1991
6536131;Axel-Tobias Schreiner;;;;;;;;;;;;;978-3-446-14894-9;;books/daglib/0067825;2011-04-12;;;;I-X, 1-316;Hanser;;;;;;;;Professor Schreiners Unix-Sprechstunde - Technik, Tips und Tricks von awk bis yacc.;;;1987
6536132;Andrew S. Tanenbaum;;;;;;;;;;;;;978-3-930436-23-1;;books/daglib/0086370;2011-04-28;;;;1-794;Prentice Hall;;;;;;;;Verteilte Betriebssysteme.;;;1995
6536133;Juha-Pekka Tolvanen|Steven Kelly 0001;;;;;;;;;;http://eu.wiley.com/WileyCDA/WileyTitle/productCd-0470036664.html;;;978-0-470-03666-2;;books/daglib/0030763;2014-01-07;;;;I-XVI, 1-427;Wiley;;;;;;;;Domain-Specific Modeling - Enabling Full Code Generation.;;;2008
6536134;Hermann Maurer|Nick Scherbakov|Zahran Halim|Zaidah Razak;;;From Databases to Hypermedia;;;;;;;https://doi.org/10.1007/978-3-642-58763-4;;;978-3-540-63754-7;;books/daglib/0094932;2019-06-24;;;;;Springer;;;;;;;;From Databases to Hypermedia - With 26 CAI Lessons;;;1998
6536136;Bettina Steinmüller|Uwe Steinmüller;;;;;;;;;;;;;978-3-89864-301-6;;books/daglib/0011524;2011-04-12;;;;I-IX, 1-299;dpunkt.verlag;;;;;;;;Die digitale Dunkelkammer - vom Kamera-File zum perfekten Print: Arbeitsschritte, Techniken, Werkzeuge.;;;2004
6536138;David C. Kreines;;;;;;;;;;http://www.oreilly.de/catalog/oracleippr/index.html;;;978-0-596-00770-6;;books/daglib/0011564;2011-04-12;;;;I-VI, 1-112;O'Reilly;;;;;;;;Oracle initialization parameters - pocket reference: Oracle configuration quick reference: includes Oracle database 10g.;;;2004
6536139;Beishui Liao;;;;;;;;;;http://store.elsevier.com/product.jsp?isbn=9780124104068;;;978-0-12-410406-8;;books/daglib/0033440;2014-07-09;;;;I-X, 1-137;Academic Press;;;;Intelligent systems series;;;;Efficient Computation of Argumentation Semantics.;;;2014
6536140;Dieter Gollmann;;;;;;;;;;;;;978-0-471-97844-2;;books/daglib/0097694;2019-07-22;;;;I-XV, 1-320;Wiley;;;;Worlwide series in computer cience;;;;Computer Security.;;;1999
6536141;Noam Nisan|Shimon Schocken;;;;;;;;;;;;;978-0-262-14087-4;;books/daglib/0014694;2011-04-01;;;;I-XIV, 1-324;MIT Press;;;;;;;;The Elements of Computing Systems - Building a Modern Computer from First Principles.;;;2005
6536143;Peter Schaar;;;;;;;;;;http://www.koerber-stiftung.de/edition-koerber-stiftung/e-books/politikgesellschaft/e-book/das-digitale-wir.html;;;978-3-89684-487-3;;books/daglib/0037571;2016-03-04;;;;1-220;Edition Körber Stiftung;;;;;;;;Das digitale Wir - Unser Weg in die transparente Gesellschaft.;;;2015
6536144;Donald R. Woods|George Pólya|Robert Endre Tarjan;;;;;;;;;;;;;978-3-7643-3170-2;;books/daglib/0070441;2019-06-28;;;;I-VIII, 1-160;Birkhäuser;;;;Progress in computer science;;;;Notes on introductory combinatorics.;;4;1983
6536145;;;;;;;;;;;;;;;;books/daglib/0084157;2019-07-19;;;;1-138;Bundesministerium für Wirtschaft;;;;;;;;Info 2000 - Deutschlands Weg in die Informationsgesellschaft: Bericht der Bundesregierung.;;;1996
6536146;Guy Harrison|Steven Feuerstein;;;;;;;;;;;;;978-0-596-10089-6;;books/daglib/0015969;2011-03-23;;;;I-XXIII, 1-609;O'Reilly;;;;;;;;MySQL stored procedure programming - building high-performance web applications with PHP, Perl, Python, Java and .NET: covers MySQL 5.;;;2006
6536148;Jürg Kohlas;;;;;;;;;;;;;978-1-85233-689-9;;books/daglib/0008195;2019-07-15;;;;I-X, 1-265;Springer;;;;Discrete mathematics and theoretical computer science;;;;Information algebras - generic structures for inference.;;;2003
6536149;Nachum Dershowitz;;;;;;;;;;;;;978-0-8176-3171-0;;books/daglib/0067941;2019-09-19;;;;1-357;Birkhäuser;;;;Progress in computer science;;;;The evolution of programs.;;5;1983
6536150;Margaret A. Ellis|Martin D. Carroll;;;;;;;;;;;;;978-0-201-51284-7;;books/daglib/0080737;2011-04-27;;;;I-XVI, 1-317;Addison-Wesley;;;;;;;;Designing and coding reusable C++.;;;1995
6536151;Helmut Werner|Robert Schaback;;;;;;;;;;;;;978-3-540-54738-9;;books/daglib/0072482;2019-07-18;;;;I-IX, 1-326;Springer;;;;Springer-Lehrbuch;;;;Numerische Mathematik, 4. Auflage.;;;1992
6536153;Horst E. von Renouard;;;;;;;;;;;;;978-3-540-61766-2;;books/daglib/0090323;2011-04-26;;;;I-XVII, 1-498;Springer;;;;;;;;Fachwörterbuch Elektronische Medien und Dienste - Deutsch / Englisch - Englisch / Deutsch.;;;1997
6536154;Heiko Hamann;;;;;;;;;;https://doi.org/10.1007/978-3-319-74528-2;;;978-3-319-74526-8;;books/daglib/0045745;2019-09-19;;;;I-XI, 1-210;Springer;;;;;;;;Swarm Robotics - A Formal Approach.;;;2018
6536155;Andreas Spillner 0001|Andreas W. M. Dress|Jacobus H. Koolen|Katharina T. Huber|Vincent Moulton;;;;;;;;;;http://www.cambridge.org/de/knowledge/isbn/item6439332/;;;978-0-521-76832-0;;books/daglib/0028853;2013-08-14;;;;I-XII, 1-264;Cambridge University Press;;;;;;;;Basic Phylogenetic Combinatorics.;;;2012
6536156;Attila Caglar|Gerhard W. Zumbusch|Michael Griebel|Stephan Knapek;;;Numerische Simulation in der Moleküldynamik;;;;;;;https://doi.org/10.1007/978-3-642-18779-7;;;978-3-540-41856-6;;books/daglib/0022967;2019-07-17;;;;1-426;Springer;;;;Springer-Lehrbuch;;;;Numerische Simulation in der Moleküldynamik;;;2004
6536157;Jesse Liberty;;;;;;;;;;;;;978-0-596-00117-9;;books/daglib/0004905;2011-04-12;;;;I-XIX, 1-658;O'Reilly;;;;;;;;Programming C# sharp - building .NET applications.;;;2001
6536158;Jack Davis|Linnea Dayton;;;;;;;;;;;;;978-3-540-56838-4;;books/daglib/0072730;2011-05-09;;;;I-XI, 1-196;Springer;;;;Edition PAGE;;;;Photoshop-Praxis - Tricks und Techniken für den effektiven Einsatz von Adobe Photoshop.;;;1994
6536159;Clarissa Cassales Marquezan|Lisandro Zambenedetti Granville;;;;;;;;;;https://doi.org/10.1007/978-1-4471-4201-0;;;978-1-4471-4200-3;;books/daglib/0030036;2017-05-16;;;;I-XIII, 1-105;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Self-* and P2P for Network Management - Design Principles and Case Studies.;;;2012
6536160;Milan Sonka|Roger Boyle|Václav Hlavác;;;;;;;;;;;;;978-0-495-24438-7;;books/daglib/0019302;2011-02-09;;;;I-XXV, 1-829;Thomson;;;;;;;;Image processing, analysis and and machine vision (3. ed.).;;;2008
6536161;Andreas Mühling|Gerd Aiglstorfer|Peter Hubwieser;;;;;;;;;;http://www.degruyter.com/view/product/226466;;;978-3-486-71751-8;;books/daglib/0037402;2021-12-10;;;;I-XVI, 1-320;Oldenbourg;;;;;;;;Fundamente der Informatik - funktionale, imperative und objektorientierte Sicht, Algorithmen und Datenstrukturen, 2. Auflage.;;;2012
6536162;Sead Muftic;;;;;;;;;;;;;978-0-13-799180-8;;books/daglib/0068870;2011-05-05;;;;1-195;Ellis Horwood;;;;Ellis Horwood series in computers and their applications;;;;Security mechanisms for computer networks.;;;1989
6536163;Jia-Wei Hong;;;;;;;;;;;;;978-0-273-08720-5;;books/daglib/0069626;2011-04-14;;;;1-236;Pitman;;;;Research notes in theoretical computer science;;;;Computation - computability, similarity and duality.;;;1986
6536164;Christoph Lindemann;;;;;;;;;;;;;978-0-471-97646-2;;books/daglib/0095172;2011-04-21;;;;I-XIII, 1-405;Wiley;;;;Wiley-Interscience series in systems and optimization;;;;Performance modelling with deterministic and stochastic Petri nets.;;;1998
6536165;Guy L. Steele Jr.|Samuel P. Harbison;;;;;;;;;;;;;978-0-13-326224-7;;books/daglib/0085446;2011-04-28;;;;I-XX, 1-455;Prentice Hall;;;;;;;;C - a reference manual (4. ed.).;;;1995
6536166;Jerry D. Peek|Linda Lamb;;;;;;;;;;;;;978-1-56592-103-0;;books/daglib/0078819;2011-04-27;;;;I-XII, 1-146;O'Reilly;;;;;;;;What you need to know using email effectively.;;;1995
6536167;John W. Woods;;;;;;;;;;;;;978-1-4020-2663-8;;books/daglib/0013282;2019-07-15;;;;I-XXVII, 1-375;Springer;;;;Applied logic series;;;;The death of argument - fallacies in agent based reasoning.;;32;2004
6536168;Uwe Schöning;;;;;;;;;;;;;978-3-8274-1005-4;;books/daglib/0006046;2019-07-22;;;;1-200;Spektrum Akadem. Verl.;;;;Spektrum-Hochschultaschenbuch;;;;Logik für Informatiker, 5. Auflage.;;;2000
6536169;Amrit L. Goel|Imran Bashir;;;;;;;;;;http://www.springer.com/computer/swe/book/978-0-387-98896-2;;;978-0-387-98896-2;;books/daglib/0007493;2011-04-18;;;;I-XIX, 1-209;Springer;;;;;;;;Testing object-oriented software - life cycle solutions.;;;2000
6536171;Mark Lutz;;;;;;;;;;http://www.oreilly.de/catalog/9780596158101/index.html;;;978-0-596-15810-1;;books/daglib/0025720;2011-03-15;;;;I-XXXIX, 1-1584;O'Reilly;;;;;;;;Programming Python - Powerful Object-Oriented Programming: Covers Python 3.x (4. ed.).;;;2011
6536172;Chris Seibold;;;;;;;;;;;;;978-1-449-31058-5;;books/daglib/0027735;2011-10-14;;;;I-IX, 1-219;O'Reilly;;;;;;;;Mac OS X Lion - Pocket Guide: The Ultimate Quick Guide to Mac OS X.;;;2011
6536173;M. Victor Wickerhauser;;;;;;;;;;;;;978-3-528-06688-8;;books/daglib/0082439;2011-04-29;;;;I-XII, 1-440;Vieweg;;;;;;;;Adaptive Wavelet-Analysis - Theorie und Software.;;;1993
6536174;Gerd Siegmund|Stephan Rupp|Wolfgang Lautenschlager;;;;;;;;;;;;;978-3-89864-167-8;;books/daglib/0006693;2011-04-12;;;;I-XIII, 1-309;dpunkt.verlag;;;;;;;;SIP - multimediale Dienste im Internet: Grundlagen, Architektur, Anwendungen.;;;2002
6536175;;;;;;;;;;;;;;978-1-581-13169-7;;books/daglib/0000409;2019-07-19;;;;1-68;ACM;;;;;;;;Intellectual property in the age of universal access.;;;2000
6536176;Ker-I Ko;;;;;;;;;;;;;978-0-8176-3586-2;;books/daglib/0067010;2019-07-17;;;;I-VIII, 1-309;Birkhäuser;;;;Progress in theoretical computer science;;;;Complexity theory of real functions.;;3;1991
6536177;Douglas Schuler;;;;;;;;;;;;;978-0-201-59553-6;;books/daglib/0082472;2011-04-26;;;;I-XV, 1-528;Addison-Wesley;;;;;;;;New community networks - wired for change.;;;1996
6536178;Bruce E. Sagan;;;;;;;;;;;;;978-0-534-15540-7;;books/daglib/0077285;2011-04-19;;;;I-XV, 1-197;Wadsworth;;;;Wadsworth & Brooks / Cole mathematics series;;;;The symmetric group - representations, combinatorial algorithms, and symmetric functions.;;;1991
6536179;Alan J. Dix;;;;;;;;;;;;;978-0-12-218315-7;;books/daglib/0070475;2011-04-19;;;;1-369;Academic Press;;;;Computers and people series;;;;Formal methods for interactive systems.;;;1991
6536180;Michael B. Shebanek;;;;;;;;;;;;;978-3-540-97956-2;;books/daglib/0071202;2011-04-29;;;;;Springer;;;;;;;;Complete guide to the Nextstep user environment.;;;1993
6536181;Alex MacManus|John Hunt;;;;;;;;;;;;;978-3-540-76259-1;;books/daglib/0093697;2011-04-21;;;;I-XVII, 1-331;Springer;;;;Practitioner series;;;;Key Java - advanced tips and techniques.;;;1998
6536183;Isaac E. Elishakoff;;;;;;;;;;;;;978-0-486-40691-6;;books/daglib/0027228;2011-10-14;;;;1-486;Dover Publications;;;;;;;;Probabilistic Theory of Structures, 2nd Edition.;;;1999
6536184;Randall Pruim|Uwe Schöning;;;;;;;;;;;;;978-3-540-64425-5;;books/daglib/0094933;2011-04-21;;;;I-X, 1-320;Springer;;;;;;;;Gems of theoretical computer science.;;;1998
